,Date,isholiday
0,20160314,1
1,20160326,1
2,20160327,1
3,20160613,1
4,20160930,1
5,20161101,1
6,20161226,1
7,20161227,1
8,20170313,1
9,20170415,1
10,20170416,1
11,20170612,1
12,20170929,1
13,20171107,1
14,20171226,1
15,20170313,1
16,20170612,1
17,20170929,1
18,20171107,1
19,20180312,1
20,20180611,1
21,20180928,1
22,20181106,1
23,20190101,1
24,20190128,1
25,20190311,1
26,20190419,1
27,20190420,1
28,20190421,1
29,20190422,1
30,20190425,1
31,20190610,1
32,20190927,1
33,20191105,1
34,20191225,1
35,20191226,1
36,20200101,1
37,20200127,1
38,20200309,1
39,20200410,1
40,20200411,1
41,20200412,1
42,20200413,1
43,20200425,1
44,20200608,1
45,20201023,1
46,20201103,1
47,20201225,1
48,20201226,1
49,20201228,1
