date,daylight
2016/01/01,14:44:19
2016/01/02,14:43:40
2016/01/03,14:42:58
2016/01/04,14:42:12
2016/01/05,14:41:23
2016/01/06,14:40:30
2016/01/07,14:39:34
2016/01/08,14:38:35
2016/01/09,14:37:32
2016/01/10,14:36:27
2016/01/11,14:35:18
2016/01/12,14:34:06
2016/01/13,14:32:50
2016/01/14,14:31:32
2016/01/15,14:30:11
2016/01/16,14:28:48
2016/01/17,14:27:21
2016/01/18,14:25:52
2016/01/19,14:24:20
2016/01/20,14:22:46
2016/01/21,14:21:09
2016/01/22,14:19:29
2016/01/23,14:17:48
2016/01/24,14:16:04
2016/01/25,14:14:18
2016/01/26,14:12:29
2016/01/27,14:10:39
2016/01/28,14:08:47
2016/01/29,14:06:53
2016/01/30,14:04:56
2016/01/31,14:02:59
2016/02/01,14:00:59
2016/02/02,13:58:58
2016/02/03,13:56:55
2016/02/04,13:54:51
2016/02/05,13:52:45
2016/02/06,13:50:38
2016/02/07,13:48:29
2016/02/08,13:46:20
2016/02/09,13:44:09
2016/02/10,13:41:57
2016/02/11,13:39:43
2016/02/12,13:37:29
2016/02/13,13:35:14
2016/02/14,13:32:58
2016/02/15,13:30:41
2016/02/16,13:28:23
2016/02/17,13:26:04
2016/02/18,13:23:44
2016/02/19,13:21:24
2016/02/20,13:19:03
2016/02/21,13:16:41
2016/02/22,13:14:19
2016/02/23,13:11:56
2016/02/24,13:09:32
2016/02/25,13:07:08
2016/02/26,13:04:44
2016/02/27,13:02:19
2016/02/28,12:59:54
2016/02/29,12:57:29
2016/03/01,12:55:03
2016/03/02,12:52:37
2016/03/03,12:50:10
2016/03/04,12:47:44
2016/03/05,12:45:17
2016/03/06,12:42:50
2016/03/07,12:40:22
2016/03/08,12:37:55
2016/03/09,12:35:28
2016/03/10,12:33:00
2016/03/11,12:30:33
2016/03/12,12:28:05
2016/03/13,12:25:37
2016/03/14,12:23:10
2016/03/15,12:20:42
2016/03/16,12:18:14
2016/03/17,12:15:47
2016/03/18,12:13:19
2016/03/19,12:10:52
2016/03/20,12:08:24
2016/03/21,12:05:57
2016/03/22,12:03:30
2016/03/23,12:01:03
2016/03/24,11:58:36
2016/03/25,11:56:10
2016/03/26,11:53:43
2016/03/27,11:51:17
2016/03/28,11:48:51
2016/03/29,11:46:26
2016/03/30,11:44:01
2016/03/31,11:41:36
2016/04/01,11:39:11
2016/04/02,11:36:47
2016/04/03,11:34:23
2016/04/04,11:32:00
2016/04/05,11:29:37
2016/04/06,11:27:14
2016/04/07,11:24:52
2016/04/08,11:22:31
2016/04/09,11:20:10
2016/04/10,11:17:49
2016/04/11,11:15:30
2016/04/12,11:13:10
2016/04/13,11:10:52
2016/04/14,11:08:34
2016/04/15,11:06:16
2016/04/16,11:04:00
2016/04/17,11:01:44
2016/04/18,10:59:28
2016/04/19,10:57:14
2016/04/20,10:55:00
2016/04/21,10:52:48
2016/04/22,10:50:36
2016/04/23,10:48:25
2016/04/24,10:46:14
2016/04/25,10:44:05
2016/04/26,10:41:57
2016/04/27,10:39:50
2016/04/28,10:37:44
2016/04/29,10:35:40
2016/04/30,10:33:36
2016/05/01,10:31:34
2016/05/02,10:29:33
2016/05/03,10:27:33
2016/05/04,10:25:34
2016/05/05,10:23:37
2016/05/06,10:21:42
2016/05/07,10:19:48
2016/05/08,10:17:55
2016/05/09,10:16:04
2016/05/10,10:14:15
2016/05/11,10:12:27
2016/05/12,10:10:41
2016/05/13,10:08:57
2016/05/14,10:07:14
2016/05/15,10:05:34
2016/05/16,10:03:55
2016/05/17,10:02:18
2016/05/18,10:00:43
2016/05/19,9:59:11
2016/05/20,9:57:40
2016/05/21,9:56:12
2016/05/22,9:54:46
2016/05/23,9:53:22
2016/05/24,9:52:00
2016/05/25,9:50:41
2016/05/26,9:49:24
2016/05/27,9:48:09
2016/05/28,9:46:58
2016/05/29,9:45:48
2016/05/30,9:44:42
2016/05/31,9:43:37
