"product_code" "station_number" "year" "month" "day" "min_temperature" "accum_days_min" "quality"
"1" "IDCJAC0011" 86338 2013 1 1 NA NA ""
"2" "IDCJAC0011" 86338 2013 1 2 NA NA ""
"3" "IDCJAC0011" 86338 2013 1 3 NA NA ""
"4" "IDCJAC0011" 86338 2013 1 4 NA NA ""
"5" "IDCJAC0011" 86338 2013 1 5 NA NA ""
"6" "IDCJAC0011" 86338 2013 1 6 NA NA ""
"7" "IDCJAC0011" 86338 2013 1 7 NA NA ""
"8" "IDCJAC0011" 86338 2013 1 8 NA NA ""
"9" "IDCJAC0011" 86338 2013 1 9 NA NA ""
"10" "IDCJAC0011" 86338 2013 1 10 NA NA ""
"11" "IDCJAC0011" 86338 2013 1 11 NA NA ""
"12" "IDCJAC0011" 86338 2013 1 12 NA NA ""
"13" "IDCJAC0011" 86338 2013 1 13 NA NA ""
"14" "IDCJAC0011" 86338 2013 1 14 NA NA ""
"15" "IDCJAC0011" 86338 2013 1 15 NA NA ""
"16" "IDCJAC0011" 86338 2013 1 16 NA NA ""
"17" "IDCJAC0011" 86338 2013 1 17 NA NA ""
"18" "IDCJAC0011" 86338 2013 1 18 NA NA ""
"19" "IDCJAC0011" 86338 2013 1 19 NA NA ""
"20" "IDCJAC0011" 86338 2013 1 20 NA NA ""
"21" "IDCJAC0011" 86338 2013 1 21 NA NA ""
"22" "IDCJAC0011" 86338 2013 1 22 NA NA ""
"23" "IDCJAC0011" 86338 2013 1 23 NA NA ""
"24" "IDCJAC0011" 86338 2013 1 24 NA NA ""
"25" "IDCJAC0011" 86338 2013 1 25 NA NA ""
"26" "IDCJAC0011" 86338 2013 1 26 NA NA ""
"27" "IDCJAC0011" 86338 2013 1 27 NA NA ""
"28" "IDCJAC0011" 86338 2013 1 28 NA NA ""
"29" "IDCJAC0011" 86338 2013 1 29 NA NA ""
"30" "IDCJAC0011" 86338 2013 1 30 NA NA ""
"31" "IDCJAC0011" 86338 2013 1 31 NA NA ""
"32" "IDCJAC0011" 86338 2013 2 1 NA NA ""
"33" "IDCJAC0011" 86338 2013 2 2 NA NA ""
"34" "IDCJAC0011" 86338 2013 2 3 NA NA ""
"35" "IDCJAC0011" 86338 2013 2 4 NA NA ""
"36" "IDCJAC0011" 86338 2013 2 5 NA NA ""
"37" "IDCJAC0011" 86338 2013 2 6 NA NA ""
"38" "IDCJAC0011" 86338 2013 2 7 NA NA ""
"39" "IDCJAC0011" 86338 2013 2 8 NA NA ""
"40" "IDCJAC0011" 86338 2013 2 9 NA NA ""
"41" "IDCJAC0011" 86338 2013 2 10 NA NA ""
"42" "IDCJAC0011" 86338 2013 2 11 NA NA ""
"43" "IDCJAC0011" 86338 2013 2 12 NA NA ""
"44" "IDCJAC0011" 86338 2013 2 13 NA NA ""
"45" "IDCJAC0011" 86338 2013 2 14 NA NA ""
"46" "IDCJAC0011" 86338 2013 2 15 NA NA ""
"47" "IDCJAC0011" 86338 2013 2 16 NA NA ""
"48" "IDCJAC0011" 86338 2013 2 17 NA NA ""
"49" "IDCJAC0011" 86338 2013 2 18 NA NA ""
"50" "IDCJAC0011" 86338 2013 2 19 NA NA ""
"51" "IDCJAC0011" 86338 2013 2 20 NA NA ""
"52" "IDCJAC0011" 86338 2013 2 21 NA NA ""
"53" "IDCJAC0011" 86338 2013 2 22 NA NA ""
"54" "IDCJAC0011" 86338 2013 2 23 NA NA ""
"55" "IDCJAC0011" 86338 2013 2 24 NA NA ""
"56" "IDCJAC0011" 86338 2013 2 25 NA NA ""
"57" "IDCJAC0011" 86338 2013 2 26 NA NA ""
"58" "IDCJAC0011" 86338 2013 2 27 NA NA ""
"59" "IDCJAC0011" 86338 2013 2 28 NA NA ""
"60" "IDCJAC0011" 86338 2013 3 1 NA NA ""
"61" "IDCJAC0011" 86338 2013 3 2 NA NA ""
"62" "IDCJAC0011" 86338 2013 3 3 NA NA ""
"63" "IDCJAC0011" 86338 2013 3 4 NA NA ""
"64" "IDCJAC0011" 86338 2013 3 5 NA NA ""
"65" "IDCJAC0011" 86338 2013 3 6 NA NA ""
"66" "IDCJAC0011" 86338 2013 3 7 NA NA ""
"67" "IDCJAC0011" 86338 2013 3 8 NA NA ""
"68" "IDCJAC0011" 86338 2013 3 9 NA NA ""
"69" "IDCJAC0011" 86338 2013 3 10 NA NA ""
"70" "IDCJAC0011" 86338 2013 3 11 NA NA ""
"71" "IDCJAC0011" 86338 2013 3 12 NA NA ""
"72" "IDCJAC0011" 86338 2013 3 13 NA NA ""
"73" "IDCJAC0011" 86338 2013 3 14 NA NA ""
"74" "IDCJAC0011" 86338 2013 3 15 NA NA ""
"75" "IDCJAC0011" 86338 2013 3 16 NA NA ""
"76" "IDCJAC0011" 86338 2013 3 17 NA NA ""
"77" "IDCJAC0011" 86338 2013 3 18 NA NA ""
"78" "IDCJAC0011" 86338 2013 3 19 NA NA ""
"79" "IDCJAC0011" 86338 2013 3 20 NA NA ""
"80" "IDCJAC0011" 86338 2013 3 21 NA NA ""
"81" "IDCJAC0011" 86338 2013 3 22 NA NA ""
"82" "IDCJAC0011" 86338 2013 3 23 NA NA ""
"83" "IDCJAC0011" 86338 2013 3 24 NA NA ""
"84" "IDCJAC0011" 86338 2013 3 25 NA NA ""
"85" "IDCJAC0011" 86338 2013 3 26 NA NA ""
"86" "IDCJAC0011" 86338 2013 3 27 NA NA ""
"87" "IDCJAC0011" 86338 2013 3 28 NA NA ""
"88" "IDCJAC0011" 86338 2013 3 29 NA NA ""
"89" "IDCJAC0011" 86338 2013 3 30 NA NA ""
"90" "IDCJAC0011" 86338 2013 3 31 NA NA ""
"91" "IDCJAC0011" 86338 2013 4 1 NA NA ""
"92" "IDCJAC0011" 86338 2013 4 2 NA NA ""
"93" "IDCJAC0011" 86338 2013 4 3 NA NA ""
"94" "IDCJAC0011" 86338 2013 4 4 NA NA ""
"95" "IDCJAC0011" 86338 2013 4 5 NA NA ""
"96" "IDCJAC0011" 86338 2013 4 6 NA NA ""
"97" "IDCJAC0011" 86338 2013 4 7 NA NA ""
"98" "IDCJAC0011" 86338 2013 4 8 NA NA ""
"99" "IDCJAC0011" 86338 2013 4 9 NA NA ""
"100" "IDCJAC0011" 86338 2013 4 10 NA NA ""
"101" "IDCJAC0011" 86338 2013 4 11 NA NA ""
"102" "IDCJAC0011" 86338 2013 4 12 NA NA ""
"103" "IDCJAC0011" 86338 2013 4 13 NA NA ""
"104" "IDCJAC0011" 86338 2013 4 14 NA NA ""
"105" "IDCJAC0011" 86338 2013 4 15 NA NA ""
"106" "IDCJAC0011" 86338 2013 4 16 NA NA ""
"107" "IDCJAC0011" 86338 2013 4 17 NA NA ""
"108" "IDCJAC0011" 86338 2013 4 18 NA NA ""
"109" "IDCJAC0011" 86338 2013 4 19 NA NA ""
"110" "IDCJAC0011" 86338 2013 4 20 NA NA ""
"111" "IDCJAC0011" 86338 2013 4 21 NA NA ""
"112" "IDCJAC0011" 86338 2013 4 22 NA NA ""
"113" "IDCJAC0011" 86338 2013 4 23 NA NA ""
"114" "IDCJAC0011" 86338 2013 4 24 NA NA ""
"115" "IDCJAC0011" 86338 2013 4 25 NA NA ""
"116" "IDCJAC0011" 86338 2013 4 26 NA NA ""
"117" "IDCJAC0011" 86338 2013 4 27 NA NA ""
"118" "IDCJAC0011" 86338 2013 4 28 NA NA ""
"119" "IDCJAC0011" 86338 2013 4 29 NA NA ""
"120" "IDCJAC0011" 86338 2013 4 30 NA NA ""
"121" "IDCJAC0011" 86338 2013 5 1 NA NA ""
"122" "IDCJAC0011" 86338 2013 5 2 NA NA ""
"123" "IDCJAC0011" 86338 2013 5 3 NA NA ""
"124" "IDCJAC0011" 86338 2013 5 4 NA NA ""
"125" "IDCJAC0011" 86338 2013 5 5 NA NA ""
"126" "IDCJAC0011" 86338 2013 5 6 NA NA ""
"127" "IDCJAC0011" 86338 2013 5 7 NA NA ""
"128" "IDCJAC0011" 86338 2013 5 8 NA NA ""
"129" "IDCJAC0011" 86338 2013 5 9 NA NA ""
"130" "IDCJAC0011" 86338 2013 5 10 NA NA ""
"131" "IDCJAC0011" 86338 2013 5 11 NA NA ""
"132" "IDCJAC0011" 86338 2013 5 12 NA NA ""
"133" "IDCJAC0011" 86338 2013 5 13 NA NA ""
"134" "IDCJAC0011" 86338 2013 5 14 NA NA ""
"135" "IDCJAC0011" 86338 2013 5 15 NA NA ""
"136" "IDCJAC0011" 86338 2013 5 16 NA NA ""
"137" "IDCJAC0011" 86338 2013 5 17 NA NA ""
"138" "IDCJAC0011" 86338 2013 5 18 NA NA ""
"139" "IDCJAC0011" 86338 2013 5 19 NA NA ""
"140" "IDCJAC0011" 86338 2013 5 20 NA NA ""
"141" "IDCJAC0011" 86338 2013 5 21 NA NA ""
"142" "IDCJAC0011" 86338 2013 5 22 NA NA ""
"143" "IDCJAC0011" 86338 2013 5 23 NA NA ""
"144" "IDCJAC0011" 86338 2013 5 24 NA NA ""
"145" "IDCJAC0011" 86338 2013 5 25 NA NA ""
"146" "IDCJAC0011" 86338 2013 5 26 NA NA ""
"147" "IDCJAC0011" 86338 2013 5 27 NA NA ""
"148" "IDCJAC0011" 86338 2013 5 28 NA NA ""
"149" "IDCJAC0011" 86338 2013 5 29 NA NA ""
"150" "IDCJAC0011" 86338 2013 5 30 NA NA ""
"151" "IDCJAC0011" 86338 2013 5 31 NA NA ""
"152" "IDCJAC0011" 86338 2013 6 1 NA NA ""
"153" "IDCJAC0011" 86338 2013 6 2 10.4 1 "Y"
"154" "IDCJAC0011" 86338 2013 6 3 10.7 1 "Y"
"155" "IDCJAC0011" 86338 2013 6 4 11.1 1 "Y"
"156" "IDCJAC0011" 86338 2013 6 5 11.9 1 "Y"
"157" "IDCJAC0011" 86338 2013 6 6 12.6 1 "Y"
"158" "IDCJAC0011" 86338 2013 6 7 10.9 1 "Y"
"159" "IDCJAC0011" 86338 2013 6 8 5 1 "Y"
"160" "IDCJAC0011" 86338 2013 6 9 5.3 1 "Y"
"161" "IDCJAC0011" 86338 2013 6 10 6.5 1 "Y"
"162" "IDCJAC0011" 86338 2013 6 11 10.2 1 "Y"
"163" "IDCJAC0011" 86338 2013 6 12 8.7 1 "Y"
"164" "IDCJAC0011" 86338 2013 6 13 10.8 1 "Y"
"165" "IDCJAC0011" 86338 2013 6 14 11.3 1 "Y"
"166" "IDCJAC0011" 86338 2013 6 15 8.2 1 "Y"
"167" "IDCJAC0011" 86338 2013 6 16 7 1 "Y"
"168" "IDCJAC0011" 86338 2013 6 17 6 1 "Y"
